drivetrain,engine,exterior_color,interior_color,make,mileage,model,model_trim,price,title,transmission,trim,vehicle_mileage,vehicle_type,vin,year
4WD,4 Cyl - 2.4 L,Bright White Clearcoat,Black,Jeep,38000,Cherokee,Jeep Cherokee,25000.0,2019 Jeep Cherokee Latitude Plus,Automatic,Latitude Plus,,Sport Utility,1C4PJMLB1KD473580,2019
FWD,4 Cyl - 1.4 L,Red,,Volkswagen,38224,Jetta,Volkswagen Jetta,21942.0,2019 Volkswagen Jetta SE,Automatic,SE,,4dr Car,3VWC57BUXKM071078,2019
4WD,3.6L V6 24V MPFI DOHC,Diamond Black Crystal Pearlcoat,Black,Jeep,67584,Grand Cherokee,Jeep Grand Cherokee,23608.0,2018 Jeep Grand Cherokee Laredo,Automatic,Laredo,,Sport Utility,1C4RJFAG3JC457730,2018
4WD,3.5L V6 24V PDI DOHC Twin Turbo,Maroon,,Ford,61357,F-150,Ford F-150,31289.0,2018 Ford F-150 XLT,Automatic,XLT,,Crew Cab Pickup,1FTEW1EG2JFD16823,2018
AWD,3.5L V6 24V MPFI DOHC,Brilliant Silver Metallic,Graphite,Nissan,79854,Murano,Nissan Murano,18500.0,2018 Nissan Murano SV,Variable,SV,,Sport Utility,5N1AZ2MH8JN136169,2018
4WD,1.5L I4 16V GDI DOHC Turbo,Blue,Charcoal Black,Ford,47277,Escape,Ford Escape,20000.0,2018 Ford Escape SE,Automatic,SE,,Sport Utility,1FMCU9GD6JUB93842,2018
4WD,4.0L V6 24V MPFI DOHC,Gray,,Toyota,60972,4Runner,Toyota 4Runner,35244.0,2018 Toyota 4Runner SR5 Premium,Automatic,SR5 Premium,,Sport Utility,JTEBU5JR3J5571652,2018
4WD,1.5L I4 16V GDI DOHC Turbo,Tan,Charcoal Black,Ford,58067,Escape,Ford Escape,20955.0,2018 Ford Escape SEL,Automatic,SEL,,Sport Utility,1FMCU9HD0JUB01428,2018
4WD,3.6L V6 24V MPFI DOHC,Bright White Clearcoat,Black,Jeep,48839,Grand Cherokee,Jeep Grand Cherokee,29000.0,2018 Jeep Grand Cherokee Upland,Automatic,Upland,,Sport Utility,1C4RJFAG9JC352772,2018
4WD,1.5L I4 16V GDI DOHC Turbo,Blue,Charcoal Black,Ford,80696,Escape,Ford Escape,19000.0,2018 Ford Escape SEL,Automatic,SEL,,Sport Utility,1FMCU9HDXJUC83770,2018
